Time (ms),Value,AccX,AccY,AccZ,gX,gY,gZ,Pitch,Roll
2,94,0.29,-0.04,1.14,2.83,-0.35,11.22,-0.10,-0.38
20,64,0.17,-0.16,1.36,1.68,-1.56,13.36,-2.88,-0.14
37,-108,0.08,-0.13,1.57,0.80,-1.26,15.42,-7.05,-0.16
56,-29,0.19,-0.24,1.06,1.89,-2.32,10.41,-11.82,-0.91
73,61,0.33,-1.30,1.40,3.27,-12.79,13.76,-16.59,0.41
92,28,0.23,-0.22,1.00,2.24,-2.13,9.81,-19.02,0.52
109,29,0.01,-0.49,1.11,0.07,-4.80,10.86,-22.08,-2.35
128,-15,0.21,-0.28,0.66,2.02,-2.74,6.46,-26.14,-6.49
146,-66,0.09,-0.69,0.84,0.85,-6.77,8.20,-30.14,-8.63
163,-11,0.07,-0.46,0.73,0.72,-4.52,7.19,-32.74,-9.72
182,61,-0.07,-0.65,0.93,-0.70,-6.38,9.10,-34.71,-7.43
200,63,0.11,-0.77,0.71,1.08,-7.52,7.00,-36.82,-5.53
218,54,0.27,-0.70,0.57,2.66,-6.88,5.62,-39.71,-4.49
236,-26,0.21,-0.58,0.61,2.06,-5.71,5.95,-42.83,-4.54
253,-92,0.22,-0.61,0.55,2.14,-6.01,5.36,-45.69,-4.46
272,-32,0.16,-0.63,0.58,1.55,-6.13,5.65,-48.47,-2.99
290,-3,0.01,-0.71,0.56,0.12,-6.92,5.52,-51.01,-1.24
308,-22,-0.05,-0.74,0.39,-0.51,-7.22,3.85,-53.64,-0.06
326,-22,-0.05,-0.64,0.52,-0.47,-6.30,5.11,-55.88,0.69
345,-26,-0.02,-0.65,0.50,-0.22,-6.35,4.87,-58.21,0.78
363,-28,-0.03,-0.77,0.33,-0.25,-7.58,3.27,-60.54,-1.49
380,-23,-0.10,-0.73,0.31,-0.95,-7.17,3.00,-62.75,-3.83
399,-12,0.07,-0.85,0.21,0.69,-8.32,2.05,-65.11,-5.44
417,0,0.02,-0.88,0.26,0.23,-8.64,2.54,-67.05,-5.98
435,12,0.06,-0.74,0.16,0.57,-7.22,1.60,-67.79,-5.14
453,18,-0.14,-0.73,0.27,-1.35,-7.17,2.66,-68.15,-2.61
472,-43,0.04,-0.63,0.19,0.39,-6.16,1.87,-69.46,-1.31
489,-25,-0.04,-0.63,-0.05,-0.35,-6.19,-0.50,-71.50,-1.25
507,122,0.06,-0.55,-0.22,0.62,-5.40,-2.14,-73.64,-1.85
526,56,0.00,-0.67,-0.27,0.03,-6.58,-2.62,-76.63,-2.23
544,-72,-0.10,-1.01,-0.25,-0.97,-9.91,-2.43,-79.72,-2.90
563,-21,-0.13,-1.28,-0.23,-1.26,-12.59,-2.25,-81.73,-4.18
581,9,-0.05,-0.92,-0.15,-0.48,-9.05,-1.51,-82.69,-5.52
600,-18,-0.04,-0.82,-0.10,-0.37,-8.07,-0.98,-83.00,-6.22
618,-62,0.17,-1.17,-0.23,1.71,-11.51,-2.29,-82.87,-6.54
636,-136,-0.12,-0.91,-0.39,-1.17,-8.95,-3.80,-82.40,-5.89
655,-101,-0.11,-0.86,-0.19,-1.10,-8.40,-1.89,-82.03,-5.41
673,-6,0.09,-0.84,-0.17,0.89,-8.22,-1.65,-82.23,-5.07
691,36,0.05,-0.90,-0.20,0.51,-8.83,-1.91,-83.00,-5.19
709,84,0.00,-0.93,-0.26,0.01,-9.10,-2.59,-83.60,-5.78
